procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 94101352   1600 153697384    0    0     0 1138411 75501 324530  6  2 91  1  0  0
 1  1      0 93626520   1600 154156168    0    0     0 1142995 78487 336891  8  3 88  1  0  0
 1  1      0 93182920   1600 154631340    0    0     0 1185291 77183 345625  5  2 92  1  0  0
 0  2      0 92657392   1600 155139244    0    0     0 1260093 81772 374877  8  3 88  1  0  0
 2  0      0 92192296   1600 155598028    0    0     0 1195450 80758 365180  5  2 92  1  0  0
 1  2      0 91787516   1600 156073216    0    0     0 1138426 82111 388884  6  3 90  1  0  0
 1  1      0 91392344   1600 156515684    0    0     0 1144828 81033 380191 10  4 86  1  0  0
 3  0      0 90902380   1600 156982204    0    0     0 1154343 81132 389478  8  3 89  1  0  0
 4  0      0 90431432   1600 157446628    0    0     0 1130257 80467 407829  9  4 87  1  0  0
 1  1      0 89979136   1600 157875816    0    0     0 1103624 81013 402053  9  3 87  1  0  0
 1  1      0 89464436   1600 158351224    0    0     0 1115952 84816 456095  8  3 88  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 0  1      0 89048096   1600 158777404    0    0     0 1062720 80765 410870  7  3 90  1  0  0
129  0      0 88618988   1600 159170812    0    0     0 996433 79341 421702  7  3 89  1  0  0
 1  1      0 88245228   1600 159596928    0    0     0 1018650 83241 463285  7  3 90  1  0  0
 1  1      0 87803652   1600 160006584    0    0     0 996076 81715 438247  9  4 87  1  0  0
151  2      0 87424760   1600 160400092    0    0     0 976003 83243 462854 10  4 85  1  0  0
 0  1      0 87006380   1600 160793404    0    0     0 946404 83415 458738 11  4 84  1  0  0
 0  1      0 86640808   1600 161170320    0    0   232 951973 85542 500666 10  4 85  1  0  0
 0  1      0 86224832   1600 161580256    0    0     0 994530 90570 533990  9  4 86  1  0  0
 0  1      0 85808796   1600 161989940    0    0     0 1001064 91901 563165 11  4 85  1  0  0
 0  1      0 85412056   1600 162383364    0    0     0 958622 91403 583597  9  3 88  1  0  0
 2  1      0 85043688   1600 162793072    0    0     0 957138 101397 680268 13  5 81  1  0  0
 0  1      0 84592804   1600 163202736    0    0     0 956468 98738 675949 13  5 81  1  0  0
