procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
245  0      0 146303664   1600 100683364    0    0     0 1216488 128615 3175236 68 16 16  0  0  0
216  0      0 145993260   1600 100847336    0    0     0 1195109 132012 3195088 68 16 16  0  0  0
258  1      0 146052284   1600 100962128    0    0     0 1192506 133179 3192936 67 16 17  0  0  0
173  1      0 146046432   1600 101076936    0    0     0 1203863 136855 3209280 67 16 17  0  0  0
197  1      0 146014608   1600 101175264    0    0     0 1176404 135893 3198849 67 16 17  0  0  0
210  0      0 145962868   1600 101273644    0    0     0 1194161 134782 3161527 68 16 16  0  0  0
240  0      0 145437540   1600 101475628    0    0     0 1126841 149977 3150181 67 17 16  0  0  0
181  0      0 145192760   1600 101591644    0    0     0 1001612 159813 3190514 67 16 17  0  0  0
65  0      0 144859972   1600 101923120    0    0     0 1263861 75703 434223 10  3 86  1  0  0
97  0      0 144656060   1600 102237112    0    0     0 1328256 78072 392497  6  2 91  1  0  0
10  1      0 144111172   1600 102596992    0    0     0 1239635 70012 353812  8  2 89  1  0  0
 8  1      0 143756212   1600 102924812    0    0     0 1188895 69313 343418  7  2 90  1  0  0
 7  1      0 143289108   1600 103269076    0    0     0 1194134 71397 366304 10  3 87  1  0  0
 0  1      0 142962348   1600 103615028    0    0     0 1198820 72456 374308  8  3 88  1  0  0
 9  0      0 142699484   1600 103942740    0    0     0 1180782 73261 391838 11  4 85  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 2  1      0 142822152   1600 104188636    0    0     0 1197676 69153 372288  7  2 90  1  0  0
 2  1      0 142559000   1600 104500692    0    0     0 1186793 73486 409198 12  4 84  1  0  0
10  0      0 142298052   1600 104829016    0    0     0 1186999 73909 415434 11  4 85  1  0  0
10  0      0 141986772   1600 105179116    0    0     0 1190981 78697 446959  8  2 89  1  0  0
10  1      0 141597896   1600 105503216    0    0     0 1192606 74529 412231  8  2 89  1  0  0
 9  0      0 141088688   1600 105847332    0    0     0 1187799 73568 455462 10  3 86  1  0  0
 9  1      0 140731316   1600 106175116    0    0     0 1198546 78740 457301  9  3 87  1  0  0
 8  1      0 140515808   1600 106519264    0    0     0 1191952 80108 483124 11  3 85  1  0  0
 8  1      0 140148716   1600 106880544    0    0     0 1193786 84078 528666 13  5 82  1  0  0
 8  1      0 139748096   1600 107226072    0    0     0 1188137 86738 515744 14  4 81  1  0  0
 9  1      0 139507940   1600 107586808    0    0     0 1187616 84771 571689 14  4 82  1  0  0
 9  1      0 139143212   1600 107931980    0    0     0 1189983 86104 593331 14  4 82  1  0  0
136  0      0 138747692   1600 108277416    0    0     0 1190214 85095 600699 17  5 77  1  0  0
 1  1      0 138452092   1600 108639704    0    0     0 1203260 91326 672545 14  5 80  1  0  0
182  2      0 138058288   1600 108983988    0    0     0 1185435 97485 697849 18  6 76  1  0  0
 8  1      0 137731824   1600 109345344    0    0     0 1188288 98235 727603 17  5 78  1  0  0
 8  2      0 137353040   1600 109723872    0    0     0 1193310 104044 818179 16  5 78  1  0  0
 9  1      0 136962840   1600 110086768    0    0     0 1187065 108444 857113 21  6 73  1  0  0
176  1      0 136544904   1600 110464904    0    0     0 1202031 116200 968558 20  6 73  1  0  0
 9  0      0 136064920   1600 110827636    0    0     0 1177764 119144 1043391 25  8 67  0  0  0
192  1      0 135646072   1600 111206540    0    0     0 1202914 129105 1159758 27  9 64  0  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
11  1      0 135345064   1600 111586404    0    0     0 1181168 141409 1327099 30  8 62  0  0  0
10  1      0 135101372   1600 111963796    0    0     0 1198381 150432 1539647 37 11 52  0  0  0
 8  2      0 134755080   1600 112361276    0    0     0 1184994 160644 1768134 42 12 46  0  0  0
 8  1      0 134263168   1600 112751344    0    0     0 1184624 144417 1472669 35 10 55  0  0  0
229  2      0 133846704   1600 113164552    0    0     0 1206042 143946 1554636 34 10 55  0  0  0
202  1      0 133432304   1600 113548452    0    0     0 1182312 137120 2948444 63 15 22  0  0  0
178  0      0 132825044   1600 113944416    0    0     0 1184212 126223 3282045 66 17 17  0  0  0
236  1      0 132786180   1600 114163788    0    0     0 1202294 125572 3226360 65 16 18  0  0  0
229  1      0 132702156   1600 114350728    0    0     0 1188861 122530 3220531 66 16 17  0  0  0
191  1      0 132637932   1600 114503532    0    0     0 1192346 122152 3163503 66 15 19  0  0  0
229  0      0 132549040   1600 114655868    0    0     0 1189551 121189 3189243 66 16 17  0  0  0
193  0      0 132211648   1600 114826268    0    0     0 1182412 123432 3144541 66 16 17  0  0  0
178  1      0 131775720   1600 115024916    0    0     0 1195282 127244 3145275 65 15 19  0  0  0
229  1      0 131640108   1600 115129364    0    0     0 1164533 126584 3158461 65 16 19  0  0  0
218  1      0 131721676   1600 115247008    0    0     0 1197906 140881 3161109 66 16 18  0  0  0
227  0      0 131686188   1600 115468976    0    0     0 1120453 140535 3182520 65 16 19  0  0  0
216  1      0 131622992   1600 115575372    0    0     0 1232322 147681 3167027 66 16 18  0  0  0
 4  1      0 131510784   1600 115761452    0    0     0 1126884 123106 2463403 53 13 34  0  0  0
 1  1      0 130963504   1600 116154944    0    0     0 1311232 73292 361551  8  3 89  1  0  0
 8  2      0 130444076   1600 116499064    0    0     0 1198587 70846 345978  6  2 92  1  0  0
 8  2      0 129889092   1600 116860520    0    0     0 1199938 72565 356513  9  3 88  1  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 4  1      0 129366408   1600 117188356    0    0     0 1189871 72307 343884 10  3 86  1  0  0
 6  0      0 129008076   1600 117533272    0    0     0 1173361 73548 362435  9  3 87  1  0  0
 1  2      0 129039704   1600 117747528    0    0     0 1206857 74231 394639  8  2 89  1  0  0
 8  1      0 128786360   1600 118091640    0    0     0 1182825 77915 395620  6  2 91  1  0  0
 8  2      0 128367388   1600 118419416    0    0     0 1202672 72060 375278 10  3 86  1  0  0
 8  1      0 127927036   1600 118764336    0    0     0 1176983 72616 398565  9  3 87  1  0  0
 1  2      0 127384888   1600 119110468    0    0     0 1193346 77134 431108  8  2 89  1  0  0
 4  1      0 127014612   1600 119471116    0    0     0 1190287 75914 435590 11  3 85  1  0  0
